starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 07 16:43:40 2021	1633596220	0	126	126	126
Thu Oct 07 16:43:40 2021	1633596220	0	126	126	126
Thu Oct 07 16:43:39 2021	1633596219	0	126	126	125
Thu Oct 07 16:43:40 2021	1633596220	0	126	126	126
Thu Oct 07 16:43:38 2021	1633596218	0	126	126	126
Thu Oct 07 16:43:40 2021	1633596220	0	126	126	126
Thu Oct 07 16:43:39 2021	1633596219	0	126	126	126
Thu Oct 07 16:43:40 2021	1633596220	0	126	126	126
Thu Oct 07 16:43:40 2021	1633596220	0	126	126	126
Thu Oct 07 16:43:40 2021	1633596220	0	126	127	126
Thu Oct 07 16:43:40 2021	1633596220	0	127	127	126
Thu Oct 07 16:43:39 2021	1633596219	0	127	127	126
Thu Oct 07 16:43:39 2021	1633596219	0	127	127	126
Thu Oct 07 16:43:38 2021	1633596218	1	126	127	125
Thu Oct 07 16:43:39 2021	1633596219	0	127	127	127
Thu Oct 07 16:43:40 2021	1633596220	0	127	127	127
Thu Oct 07 16:43:38 2021	1633596218	0	127	127	127
Thu Oct 07 16:43:40 2021	1633596220	0	127	127	127
Thu Oct 07 16:43:39 2021	1633596219	0	127	127	127
Thu Oct 07 16:43:40 2021	1633596220	0	127	127	127
Thu Oct 07 16:43:40 2021	1633596220	0	127	127	127
Thu Oct 07 16:43:39 2021	1633596219	0	127	127	127
Thu Oct 07 16:43:40 2021	1633596220	0	127	127	127
Thu Oct 07 16:43:39 2021	1633596219	0	127	128	127
Thu Oct 07 16:43:39 2021	1633596219	0	128	128	127
Thu Oct 07 16:43:39 2021	1633596219	0	128	128	127
Thu Oct 07 16:43:40 2021	1633596220	0	128	128	127
Thu Oct 07 16:43:39 2021	1633596219	0	128	128	128
Thu Oct 07 16:43:38 2021	1633596218	0	128	128	127
Thu Oct 07 16:43:39 2021	1633596219	0	128	128	128
Thu Oct 07 16:43:39 2021	1633596219	0	128	128	124
Thu Oct 07 16:43:39 2021	1633596219	0	128	128	127
Thu Oct 07 16:43:38 2021	1633596218	0	128	128	127
Thu Oct 07 16:43:39 2021	1633596219	0	128	128	127
Thu Oct 07 16:43:38 2021	1633596218	0	128	128	128
Thu Oct 07 16:43:40 2021	1633596220	0	128	128	128
Thu Oct 07 16:43:41 2021	1633596221	0	128	128	128
Thu Oct 07 16:43:39 2021	1633596219	0	128	128	128
Thu Oct 07 16:43:39 2021	1633596219	0	128	128	128
Thu Oct 07 16:43:39 2021	1633596219	0	128	128	127
Thu Oct 07 16:43:40 2021	1633596220	0	128	128	128
Thu Oct 07 16:43:39 2021	1633596219	0	129	129	128
Thu Oct 07 16:43:40 2021	1633596220	0	129	129	128
Thu Oct 07 16:43:38 2021	1633596218	0	129	129	128
Thu Oct 07 16:43:39 2021	1633596219	0	129	129	129
Thu Oct 07 16:43:38 2021	1633596218	0	129	129	129
Thu Oct 07 16:43:40 2021	1633596220	0	129	129	129
Thu Oct 07 16:43:38 2021	1633596218	0	129	129	128
Thu Oct 07 16:43:41 2021	1633596221	0	129	129	129
Thu Oct 07 16:43:41 2021	1633596221	0	129	129	129
Thu Oct 07 16:43:38 2021	1633596218	0	129	129	129
Thu Oct 07 16:43:41 2021	1633596221	0	129	129	129
Thu Oct 07 16:43:38 2021	1633596218	0	129	129	129
Thu Oct 07 16:43:41 2021	1633596221	0	130	130	129
Thu Oct 07 16:43:38 2021	1633596218	0	130	130	129
Thu Oct 07 16:43:38 2021	1633596218	0	130	130	129
Thu Oct 07 16:43:40 2021	1633596220	0	130	130	130
Thu Oct 07 16:43:38 2021	1633596218	0	130	130	130
Thu Oct 07 16:43:40 2021	1633596220	0	130	130	130
Thu Oct 07 16:43:40 2021	1633596220	0	130	130	130
Thu Oct 07 16:43:40 2021	1633596220	0	130	130	130
Thu Oct 07 16:43:40 2021	1633596220	0	130	130	130
Thu Oct 07 16:43:41 2021	1633596221	0	130	130	130
Thu Oct 07 16:43:38 2021	1633596218	0	130	130	130
Thu Oct 07 16:43:39 2021	1633596219	0	130	130	130
Thu Oct 07 16:43:39 2021	1633596219	0	130	130	129
Thu Oct 07 16:43:39 2021	1633596219	0	130	130	130
Thu Oct 07 16:43:39 2021	1633596219	0	130	130	130
Thu Oct 07 16:43:40 2021	1633596220	0	130	130	130
Thu Oct 07 16:43:38 2021	1633596218	0	130	130	130
Thu Oct 07 16:43:40 2021	1633596220	0	130	130	130
Thu Oct 07 16:43:39 2021	1633596219	0	130	130	130
Thu Oct 07 16:43:40 2021	1633596220	0	130	130	130
Thu Oct 07 16:43:39 2021	1633596219	0	130	130	130
Thu Oct 07 16:43:39 2021	1633596219	0	130	131	130
Thu Oct 07 16:43:39 2021	1633596219	0	131	131	130
Thu Oct 07 16:43:39 2021	1633596219	0	131	131	130
Thu Oct 07 16:43:39 2021	1633596219	0	131	131	131
Thu Oct 07 16:43:38 2021	1633596218	0	131	131	131
Thu Oct 07 16:43:39 2021	1633596219	0	131	131	131
Thu Oct 07 16:43:38 2021	1633596218	0	131	131	131
Thu Oct 07 16:43:40 2021	1633596220	0	131	131	131
Thu Oct 07 16:43:40 2021	1633596220	0	131	131	131
Thu Oct 07 16:43:40 2021	1633596220	0	131	131	131
Thu Oct 07 16:43:39 2021	1633596219	0	131	131	131
Thu Oct 07 16:43:40 2021	1633596220	0	131	131	130
Thu Oct 07 16:43:40 2021	1633596220	0	131	131	131
Thu Oct 07 16:43:38 2021	1633596218	0	131	131	131
Thu Oct 07 16:43:39 2021	1633596219	0	131	131	131
Thu Oct 07 16:43:38 2021	1633596218	0	131	131	131
Thu Oct 07 16:43:40 2021	1633596220	0	131	131	131
Thu Oct 07 16:43:40 2021	1633596220	0	131	131	131
Thu Oct 07 16:43:39 2021	1633596219	0	131	131	131
Thu Oct 07 16:43:41 2021	1633596221	0	131	131	131
Thu Oct 07 16:43:38 2021	1633596218	0	131	131	131
Thu Oct 07 16:43:40 2021	1633596220	0	131	132	131
Thu Oct 07 16:43:40 2021	1633596220	0	131	132	131
Thu Oct 07 16:43:40 2021	1633596220	0	132	132	131
Thu Oct 07 16:43:41 2021	1633596221	0	132	132	131
Thu Oct 07 16:43:40 2021	1633596220	0	132	132	131
Thu Oct 07 16:43:40 2021	1633596220	0	132	132	131
Thu Oct 07 16:43:39 2021	1633596219	0	132	132	131
Thu Oct 07 16:43:40 2021	1633596220	0	132	132	131
Thu Oct 07 16:43:39 2021	1633596219	0	132	132	132
Thu Oct 07 16:43:40 2021	1633596220	0	132	132	131
Thu Oct 07 16:43:39 2021	1633596219	0	132	132	132
Thu Oct 07 16:43:40 2021	1633596220	0	132	132	132
Thu Oct 07 16:43:40 2021	1633596220	0	132	132	132
Thu Oct 07 16:43:40 2021	1633596220	0	132	132	132
Thu Oct 07 16:43:39 2021	1633596219	0	132	132	132
Thu Oct 07 16:43:39 2021	1633596219	0	132	132	130
Thu Oct 07 16:43:39 2021	1633596219	0	132	132	132
Thu Oct 07 16:43:38 2021	1633596218	0	132	132	131
Thu Oct 07 16:43:40 2021	1633596220	0	132	132	132
Thu Oct 07 16:43:40 2021	1633596220	0	132	132	132
Thu Oct 07 16:43:39 2021	1633596219	0	132	132	132
Thu Oct 07 16:43:38 2021	1633596218	0	132	132	132
Thu Oct 07 16:43:38 2021	1633596218	0	132	132	132
Thu Oct 07 16:43:39 2021	1633596219	0	132	132	132
Thu Oct 07 16:43:40 2021	1633596220	0	132	132	132
Thu Oct 07 16:43:40 2021	1633596220	0	132	132	132
Thu Oct 07 16:43:40 2021	1633596220	0	132	132	132
Thu Oct 07 16:43:38 2021	1633596218	0	133	133	132
Thu Oct 07 16:43:38 2021	1633596218	0	133	133	132
Thu Oct 07 16:43:40 2021	1633596220	0	133	133	132
Thu Oct 07 16:43:39 2021	1633596219	0	133	133	133
Thu Oct 07 16:43:38 2021	1633596218	0	133	133	133
Thu Oct 07 16:43:39 2021	1633596219	0	133	133	133
Thu Oct 07 16:43:40 2021	1633596220	0	133	133	133
Thu Oct 07 16:43:39 2021	1633596219	0	133	133	133
Thu Oct 07 16:43:38 2021	1633596218	0	133	133	133
Thu Oct 07 16:43:40 2021	1633596220	0	133	133	133
Thu Oct 07 16:43:39 2021	1633596219	0	133	133	133
Thu Oct 07 16:43:39 2021	1633596219	0	133	133	132
Thu Oct 07 16:43:40 2021	1633596220	0	133	133	133
Thu Oct 07 16:43:39 2021	1633596219	0	133	133	133
Thu Oct 07 16:43:41 2021	1633596221	0	133	133	133
Thu Oct 07 16:43:39 2021	1633596219	0	133	133	133
Thu Oct 07 16:43:39 2021	1633596219	0	134	134	133
Thu Oct 07 16:43:41 2021	1633596221	0	134	134	133
Thu Oct 07 16:43:39 2021	1633596219	0	134	134	133
Thu Oct 07 16:43:39 2021	1633596219	0	134	134	134
