starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 07 16:50:02 2021	1633596602	0	127	127	127
Thu Oct 07 16:50:02 2021	1633596602	0	127	127	126
Thu Oct 07 16:50:02 2021	1633596602	0	127	127	127
Thu Oct 07 16:50:03 2021	1633596603	0	127	127	127
Thu Oct 07 16:50:02 2021	1633596602	0	127	127	127
Thu Oct 07 16:50:00 2021	1633596600	0	127	127	127
Thu Oct 07 16:50:03 2021	1633596603	0	127	127	125
Thu Oct 07 16:50:01 2021	1633596601	0	127	127	127
Thu Oct 07 16:50:01 2021	1633596601	0	127	128	127
Thu Oct 07 16:50:01 2021	1633596601	0	128	128	127
Thu Oct 07 16:50:03 2021	1633596603	0	128	128	127
Thu Oct 07 16:50:03 2021	1633596603	0	128	128	127
Thu Oct 07 16:50:02 2021	1633596602	0	128	128	127
Thu Oct 07 16:50:02 2021	1633596602	0	128	128	127
Thu Oct 07 16:50:00 2021	1633596600	0	128	128	128
Thu Oct 07 16:50:03 2021	1633596603	0	128	128	127
Thu Oct 07 16:50:01 2021	1633596601	0	128	128	128
Thu Oct 07 16:50:03 2021	1633596603	0	128	128	128
Thu Oct 07 16:50:01 2021	1633596601	0	128	128	128
Thu Oct 07 16:50:01 2021	1633596601	0	128	128	128
Thu Oct 07 16:50:02 2021	1633596602	0	128	128	128
Thu Oct 07 16:50:03 2021	1633596603	0	128	128	127
Thu Oct 07 16:50:02 2021	1633596602	0	128	128	128
Thu Oct 07 16:50:03 2021	1633596603	0	128	128	127
Thu Oct 07 16:50:02 2021	1633596602	0	128	128	125
Thu Oct 07 16:50:02 2021	1633596602	0	128	128	127
Thu Oct 07 16:50:00 2021	1633596600	0	128	128	128
Thu Oct 07 16:50:00 2021	1633596600	0	128	128	128
Thu Oct 07 16:50:02 2021	1633596602	0	128	128	128
Thu Oct 07 16:50:01 2021	1633596601	0	128	128	128
Thu Oct 07 16:50:00 2021	1633596600	0	129	129	128
Thu Oct 07 16:50:02 2021	1633596602	0	129	129	128
Thu Oct 07 16:50:00 2021	1633596600	1	128	129	128
Thu Oct 07 16:50:01 2021	1633596601	0	129	129	129
Thu Oct 07 16:50:02 2021	1633596602	0	129	129	128
Thu Oct 07 16:50:03 2021	1633596603	0	129	129	129
Thu Oct 07 16:50:02 2021	1633596602	0	129	129	128
Thu Oct 07 16:50:01 2021	1633596601	0	129	129	129
Thu Oct 07 16:50:03 2021	1633596603	0	129	129	129
Thu Oct 07 16:50:03 2021	1633596603	0	129	129	129
Thu Oct 07 16:50:02 2021	1633596602	0	129	129	129
Thu Oct 07 16:50:03 2021	1633596603	0	129	129	129
Thu Oct 07 16:50:01 2021	1633596601	0	129	129	129
Thu Oct 07 16:50:02 2021	1633596602	0	129	129	129
Thu Oct 07 16:50:03 2021	1633596603	0	129	129	129
Thu Oct 07 16:50:02 2021	1633596602	0	129	129	129
Thu Oct 07 16:50:03 2021	1633596603	0	129	130	129
Thu Oct 07 16:50:00 2021	1633596600	1	128	130	128
Thu Oct 07 16:50:03 2021	1633596603	0	130	130	128
Thu Oct 07 16:50:03 2021	1633596603	0	130	130	129
Thu Oct 07 16:50:02 2021	1633596602	0	130	130	130
Thu Oct 07 16:50:02 2021	1633596602	0	130	130	130
Thu Oct 07 16:50:03 2021	1633596603	0	130	130	129
Thu Oct 07 16:50:01 2021	1633596601	0	130	130	130
Thu Oct 07 16:50:02 2021	1633596602	0	130	130	130
Thu Oct 07 16:50:00 2021	1633596600	0	130	130	129
Thu Oct 07 16:50:01 2021	1633596601	0	130	130	130
Thu Oct 07 16:50:00 2021	1633596600	0	130	130	130
Thu Oct 07 16:50:01 2021	1633596601	0	130	130	130
Thu Oct 07 16:50:03 2021	1633596603	0	130	130	130
Thu Oct 07 16:50:02 2021	1633596602	0	131	131	130
Thu Oct 07 16:50:00 2021	1633596600	0	131	131	130
Thu Oct 07 16:50:02 2021	1633596602	0	131	131	130
